slovo,$F-Factor-1,$F-Factor-2,$F-Factor-3,$F-Factor-4,$F-Factor-5
"L",-1.278719,-0.819451,0.011808,-0.135786,-1.149962
"G",-1.129304,-0.707758,-0.476619,0.155519,-0.432164
"B",0.141051,-0.052300,-0.591545,-0.276265,-1.699050
"P",1.531969,1.318797,-0.551419,-0.909899,-1.343672
"F",-1.188275,1.514525,0.280937,-0.560266,-0.891115
"S",-0.164156,-0.516897,0.773864,1.619757,-2.055095
"X",-0.270256,-0.442104,0.468638,0.763826,-0.965484
"F",0.313959,2.000103,0.699000,-0.346406,-0.188566
"T",-1.490800,2.050777,0.473388,-1.087061,-0.483969
"O",0.289362,-0.433391,-0.111176,-0.311811,-0.133681
"V",0.537700,0.340150,-1.138337,-0.631002,-0.660313
"X",-1.065677,-0.331358,0.484564,0.005546,-1.570795
"U",0.179024,0.529173,0.365230,0.545908,0.402272
"N",-0.514633,-0.432868,-2.865429,0.235428,0.674083
"M",0.392527,-1.121620,-1.197677,0.617451,1.615723
"N",-0.141477,0.355144,-0.158728,-1.420019,0.836766
"R",0.162374,-0.249950,-0.136113,0.492139,-1.176597
"B",0.629473,0.159749,-0.308895,-0.503287,-1.644579
"W",0.389800,1.766986,-1.300667,-0.593973,0.113733
"Z",-1.943897,-0.354830,1.386497,0.360429,-1.381648
"P",1.512177,1.010095,0.737009,-1.446807,-0.659943
"B",1.776660,-0.204353,-0.317540,-0.115994,-1.340383
"O",-0.947676,-0.049172,-0.538156,-0.075740,-0.491989
"Y",-0.149459,1.161594,-0.250608,0.590362,-0.294760
"D",-1.270369,-0.698447,0.554684,-1.390578,-0.466646
"K",-0.993302,-0.518220,-1.292640,1.039536,1.012833
"A",1.192485,-1.965038,0.090501,-1.310744,0.984122
"C",-2.055349,-0.933866,0.171150,1.798669,0.047566
"Z",0.583416,-0.835446,1.215594,1.145500,-1.374368
"A",-0.081138,0.615252,-0.208601,-1.109240,-0.872904
"I",0.717501,0.094566,0.504694,-0.565770,-0.608501
"H",0.705057,0.038916,0.063389,-1.166519,-0.187317
"D",-0.755386,-0.070667,-0.131122,-0.223556,-1.158672
"B",-0.330405,-0.183910,-0.533952,-0.060419,-1.229988
"B",0.484606,0.534438,-1.338044,-0.473915,-2.126247
"M",-1.554533,-0.612647,-2.633071,-0.846699,0.920901
"A",-1.723820,-1.706809,-0.198975,-1.768119,0.978570
"L",-2.340779,-0.958308,-1.031520,0.414264,-0.978809
"M",0.872549,-1.103227,-1.230562,-2.460384,0.591954
"B",0.988069,-0.826496,0.144271,2.011576,-1.525366
"F",-1.329278,2.223349,0.370864,-0.304629,-0.026715
"L",-1.007616,-1.072120,-0.627771,0.868074,-0.858628
"A",-0.218080,-2.032154,0.335118,-1.711971,1.062909
"Q",-1.243598,-0.038073,-0.982397,0.081000,-0.219710
"Y",-0.595515,1.600595,-0.534038,-0.328392,0.725089
"X",-0.386010,0.648481,1.302438,0.055565,0.266670
"T",-2.070702,1.269910,-0.111279,-0.435586,-0.087603
"Q",-0.840638,-0.196655,-0.725987,0.091640,-0.251375
"N",1.452466,-0.411557,-0.367792,-0.010454,0.157962
"D",0.101697,-0.441579,0.232765,-0.254809,-1.112224
"M",0.537773,-0.787347,-0.340521,-1.690245,0.496843
"Q",0.167493,-0.626729,-0.227505,0.277091,0.392967
"F",-0.366982,1.880016,0.582539,1.072988,1.253215
"V",-0.615256,1.535287,-0.493637,-0.118648,0.397912
"V",0.139245,0.902593,-1.137852,-0.033948,1.465383
"O",0.213963,-0.864957,-1.580094,-1.005527,0.004068
"E",0.728084,0.084259,1.783920,0.384073,0.350560
"H",-0.467709,-0.325744,-2.007018,-0.059169,1.094054
"S",-0.411217,-0.149356,-0.190751,1.170674,-1.253162
"I",0.542736,0.210324,0.745920,-1.776546,-1.786080
"X",-0.427178,-0.445700,0.411131,0.764280,-1.035929
"U",-1.715648,0.395175,-1.856802,0.496912,0.483550
"X",-0.590317,-0.229287,0.690231,0.362867,-1.531510
"T",-0.929962,1.298713,-0.214204,0.557877,-0.383721
"N",-0.952052,0.340868,-0.109396,-0.938697,0.841059
"Q",0.333070,-1.074372,-0.152193,-0.327508,-0.689300
"A",-1.031507,-1.715206,0.153181,-1.573204,0.942108
"O",0.752680,0.604454,-0.255119,0.578081,0.735596
"V",0.692927,2.434693,-0.265805,-0.022807,0.854776
"R",-0.154230,-0.401388,-0.857462,0.926375,-0.633466
"R",-0.105465,-1.075336,0.076714,0.600209,-0.068571
"V",1.266163,1.545632,-0.097826,-0.085617,0.071066
"F",-1.570787,1.383909,0.152231,-0.464916,-1.011226
"Y",0.940937,-0.191104,-1.486994,-0.111191,-1.187915
"X",-0.093123,-0.308919,1.139077,-0.405411,-0.151522
"M",0.965285,0.276276,-0.977940,-1.143877,-1.186948
"Y",-1.793354,1.612475,-1.255567,-0.460363,0.326050
"X",-0.432259,-0.272998,-0.167336,-0.042033,0.071633
"U",0.075249,-0.098944,-0.841289,-0.671263,0.318778
"G",0.775095,-0.528603,0.007201,-0.013980,-0.128128
"S",-0.383415,0.639441,1.062846,0.338452,-0.248313
"F",1.817093,0.798987,0.702414,-1.473313,-0.851591
"L",-1.383876,-1.215971,1.266258,0.311850,0.226244
"S",1.534983,-0.704545,0.015602,-0.319333,-2.018314
"M",0.791051,-1.279723,-0.068951,-2.391586,0.331993
"U",-0.183292,0.442620,-1.825049,1.442756,1.827551
"A",-1.348241,-1.806511,-0.157889,-1.445005,0.033425
"S",0.329190,-0.247456,0.008906,-0.649303,-2.002672
"J",-0.057091,0.138074,1.882598,-1.100673,1.499866
"X",-0.458662,-0.281241,-0.095003,0.003279,-0.098155
"J",0.218014,0.484304,-0.440809,-1.432964,-1.426616
"T",0.195215,0.106778,-0.355187,0.186270,-0.362070
"E",-0.248880,-0.798875,-0.718708,0.472872,-0.608284
"T",0.422894,0.025671,-0.206842,0.710828,-0.361747
"L",0.641866,-0.784727,0.904614,0.468764,1.683268
"F",-0.737822,1.329433,1.215975,-1.207425,-0.207420
"R",1.373279,-0.278442,-0.560300,-0.298502,-0.818593
"D",-0.415157,-0.009923,-0.023181,-0.571894,-0.537557
"M",0.238991,-1.879861,-0.597956,-0.876452,1.884776
"A",-1.507780,-1.857853,-0.207081,-1.991711,0.977907
"Q",0.881033,-1.134674,-1.012597,0.857142,-0.330122
"M",-0.067006,-0.336623,-2.831312,-0.314981,1.473230
"W",-1.163924,1.308659,-1.366502,-0.977542,-0.219569
"M",0.011442,-0.584815,-0.624471,-0.908176,1.061532
"Q",0.094472,0.202333,-0.690633,1.093254,-0.260819
"B",-0.014171,-0.513764,-0.032657,0.579897,-1.353102
"U",-1.657314,0.397009,-1.823114,0.512396,0.553948
"I",-1.439986,-0.325952,0.924775,0.382351,-0.231003
"N",0.660970,-0.402241,-2.821799,0.680794,1.315760
"I",-1.696470,-0.277110,0.817993,0.073253,-0.708813
"U",1.070608,0.549587,0.040683,1.359868,1.352889
"C",0.536723,1.177468,0.797946,2.327783,2.633598
"W",1.229819,1.888227,-0.617478,0.114983,1.165872
"Z",-0.152308,-1.298847,0.978842,-0.857897,-1.558483
"U",0.289035,1.298193,0.497342,0.973921,1.158886
"W",-0.004429,1.122366,-1.343732,-0.574479,-0.115311
"U",0.161573,1.381799,0.549415,0.782160,1.447540
"M",-1.141622,-0.577235,-1.479172,-0.870400,-0.328813
"B",1.880052,-0.678691,-0.687431,-0.111272,-1.374050
"W",0.310104,0.262237,-1.736447,-1.366966,1.044874
"Z",-1.013200,-0.538587,0.431769,0.997159,-1.801346
"T",-1.115969,1.592733,-0.519365,0.307904,-0.468812
"U",-0.926013,0.429659,-0.211940,0.397193,0.033521
"T",-2.214281,1.268048,-0.162257,-0.509840,-0.211305
"Z",0.399027,-0.767237,1.069710,0.744909,-1.221456
"E",0.498126,-0.084383,0.428224,0.212521,-0.678352
"S",-0.601469,-0.688183,0.074649,0.718498,-1.722645
"X",-0.076112,-0.226958,-0.089145,0.015653,0.301066
"S",0.063410,-0.648666,0.934056,2.330120,-1.388498
"V",0.131804,1.845007,-0.094804,0.097107,0.938643
"A",1.153403,-2.821230,-0.146285,-1.046278,2.888636
"B",1.437059,-0.537443,0.151741,0.222455,-1.082134
"J",0.499149,-0.625170,0.556544,-0.761684,-0.575711
"Z",-1.216621,-0.536959,0.521711,0.997974,-1.920910
"L",0.669299,-0.696975,-1.087729,1.032998,-0.090449
"A",0.328294,-1.969924,0.430368,-1.732611,1.379849
"H",0.468656,-0.269913,-1.966901,0.166981,1.322860
"S",-0.084520,-0.246371,0.711620,-0.355232,-0.435454
"Y",-0.944503,1.334981,0.218992,0.275689,-0.480964
"C",-1.144654,-0.009402,-0.216219,1.975627,0.291047
"K",-0.214056,-0.338620,-1.239711,1.683119,1.387493
"C",1.139667,-0.537008,-0.803397,1.797747,-0.386938
"Y",-1.658967,1.230061,-0.096134,-0.093355,-0.814461
"Y",-0.782588,1.800391,-0.863868,-0.130981,0.972171
"P",-0.442553,1.927237,-0.269749,-0.507144,-0.788037
"D",-0.582342,-0.592523,0.596386,-1.231025,-0.488618
"Q",-1.760224,-0.574011,-0.864388,-0.042653,-0.585842
"T",-0.833226,2.376172,1.007368,-0.965602,-0.562567
"S",-0.053877,-0.562029,1.222733,0.838502,-2.417434
"O",-0.573029,-0.243837,-0.317720,-0.382891,0.137565
"V",0.129899,2.210982,-0.155154,0.471545,0.988818
"O",0.774024,-0.694651,-0.323808,-0.120893,0.620963
"K",-0.654337,-0.652908,0.029032,1.249152,-0.239362
"F",0.460463,0.930871,1.010604,-1.425722,0.126821
"T",-0.621651,1.350654,0.748255,0.593282,-0.025060
"T",-1.105959,2.116256,1.190176,-0.711891,-0.344432
"P",-0.778592,0.889031,0.701291,-2.185953,-1.104903
"L",0.373447,-0.858884,1.519552,0.997018,0.393961
"H",0.511682,0.692948,0.594947,0.165721,0.741575
"C",-0.994838,-0.274790,-0.055060,1.682308,0.489790
"T",0.365774,1.437562,-0.206588,0.538023,-0.266839
"W",0.854042,-0.097360,-1.983382,-1.461124,-0.256476
"D",1.015246,-0.370597,0.484220,-0.450238,-0.463569
"S",0.726001,-0.904982,0.686457,-0.458564,-0.209682
"C",-1.986655,-0.887808,0.172528,2.236721,0.338668
"F",-0.248984,2.301979,0.557254,-0.160577,0.183267
"X",-0.165267,-0.513492,0.138335,0.571632,-1.345911
"N",-0.024853,1.062231,-0.427125,0.049687,1.432491
"C",0.972318,-0.332868,-0.335825,1.037113,0.727592
"W",0.988088,0.186930,-1.793374,-1.273975,1.109467
"R",1.273819,-1.212757,0.810714,-0.741844,0.553975
"Q",-1.853679,-0.559300,-1.005814,-0.169818,-0.419326
"H",-1.259109,-0.280323,-0.484253,0.281969,-0.495113
"Y",-1.177242,1.724552,-0.215133,-0.276178,0.746234
"J",-1.230015,-1.824149,-0.145354,-0.802172,2.746423
"P",1.254991,1.529989,-0.489820,-0.712312,-1.159376
"M",-0.352034,-0.804506,-2.481759,-0.701662,1.370558
"J",-1.102648,-1.943104,0.235640,-1.233114,2.394759
"Y",0.727826,1.261689,0.200724,0.754207,-0.262798
"A",-1.397686,-1.539919,-0.119706,-1.518802,0.178062
"S",0.574868,1.300127,1.065651,0.444199,-0.009645
"N",0.013152,-0.457450,-3.068431,0.545690,0.734342
"I",-0.956079,-0.183633,0.194246,0.173416,1.289901
"I",-1.844894,-0.273858,0.995526,0.213483,-0.738666
"A",0.855322,-2.386968,0.030948,-0.467203,2.147292
"V",0.723991,1.436804,-1.038205,-0.279779,-0.859961
"C",-0.391674,1.421037,1.011185,1.123495,1.620028
"C",0.162176,0.269487,0.575295,1.087185,1.758622
"G",0.126861,-0.228466,-0.914009,0.062155,-0.860056
"W",1.076767,1.570896,-0.715422,-0.333350,0.314046
"W",2.320670,0.059003,-1.188240,-0.920539,-2.185869
"C",-0.538201,0.046351,0.272272,2.068156,0.653327
"Y",0.226080,1.536977,0.585476,0.742052,0.313476
"L",0.458287,0.594255,-0.259942,0.653276,-0.768497
"K",-1.530605,-0.523119,-0.196417,0.874920,-0.630709
"F",-1.497977,0.595931,0.752155,-1.602268,0.198467
"S",-1.094592,-0.372145,-0.301091,0.421888,-1.730815
"I",-2.409950,-0.258194,-0.327444,-0.428021,-0.000372
"R",0.831387,-0.748081,-0.081827,0.858961,-0.543648
"Y",0.484647,0.144331,-1.134257,0.264767,-1.364062
"W",0.173630,1.081661,-2.176229,-0.876990,0.466612
"N",0.552831,0.422760,0.051456,-1.634323,0.437931
"I",-1.417014,-0.204489,1.051453,0.009059,-0.160291
"X",-0.208956,-0.602855,0.316897,0.105293,-1.603605
"Z",0.958622,1.116147,2.035148,0.524466,-0.213952
"U",1.007973,0.282861,-0.734440,1.384276,-0.252517
"H",1.675107,-0.272053,-1.201386,-0.083620,-2.149247
"U",-0.111627,0.349880,-1.842425,1.345090,1.879443
"F",-0.641262,1.831650,1.098151,-0.373775,-0.746129
"K",-0.040144,-0.459362,-1.231452,1.908954,1.714151
"V",-0.853068,1.050913,-1.034108,0.024715,-0.287247
"H",-1.227685,-0.276683,-0.434166,0.254166,-0.407623
"G",-1.447489,-1.317103,-0.174743,0.659853,-1.056518
"Z",-0.342843,-0.361497,0.982041,0.479606,-1.761902
"L",1.890799,0.492204,-0.231500,0.793963,-0.895101
"S",-0.704667,0.121267,1.454822,-0.784664,-0.825941
"F",-0.240917,1.859851,0.528217,0.742212,0.974448
"Z",-1.166960,-0.272814,1.627372,0.045731,-0.503970
"P",0.821629,1.160178,1.327093,-1.463587,-0.680963
"G",0.622687,0.133630,0.002273,1.017285,0.752633
"E",1.354652,-1.152820,-0.853244,0.793870,0.097117
"U",1.922286,1.018612,0.525829,0.543085,0.630519
"D",-0.071652,0.005449,-0.482994,1.136148,-0.744805
"E",0.483074,-0.078431,1.655358,0.282116,0.551606
"I",-0.933254,-0.193584,1.130678,0.116862,0.017929
"W",1.752426,1.681436,-0.838648,-0.477499,1.063947
"K",-1.911944,-0.555624,-1.859011,0.720288,0.616454
"R",0.812105,-0.472776,-1.270218,0.173542,-0.920901
"H",2.125390,0.021914,0.338972,-0.390149,0.381027
"I",-0.822554,0.057048,1.949947,-0.420304,1.517394
"C",-0.079087,-0.437958,0.813248,2.686976,0.630578
"J",-1.774346,-0.743224,0.999275,-2.082320,0.285308
"N",-0.451099,0.435188,-1.006545,-0.241724,0.142559
"P",0.691780,1.789043,0.298524,-1.462247,-1.018852
"D",-0.684660,-0.849360,0.619822,-1.208660,-0.205922
"T",-0.377137,1.839215,0.196464,0.106026,-0.188250
"F",-1.216923,1.681145,0.360303,-0.634466,-0.908152
"K",-2.157174,-0.619567,-1.778170,0.311623,0.431110
"W",0.975896,2.293253,-0.798623,0.080884,2.374211
"H",-1.267137,-0.255795,-0.646956,0.105212,-0.551094
"I",0.981308,-0.103323,0.102531,0.909731,-1.628562
"Y",-0.493134,1.697310,-0.209218,-0.108513,0.950227
"H",-0.699784,-0.005794,0.446689,-0.680399,-0.126272
"F",0.935016,0.533341,1.615106,-0.870798,-0.121531
"V",0.771182,2.324747,-0.000566,0.584386,1.340796
"O",0.155553,0.123491,-0.351449,0.025557,0.561265
"C",-0.076284,-0.586584,0.188545,2.414751,0.730641
"E",0.378255,0.254373,-0.074286,1.487870,-1.148459
"H",1.232656,-0.661041,0.504757,-1.427741,0.486324
"E",-0.484622,-0.455745,0.861301,3.142879,0.442747
"B",-0.215470,-0.533056,-0.313158,1.358065,-1.552022
"N",1.820044,-0.113452,0.619234,-1.817348,0.454768
"P",-1.021558,0.841673,-0.187078,-1.765696,-0.953037
"N",-1.074562,0.369185,-0.338290,-1.261286,0.295459
"U",-0.623099,1.137015,0.380730,0.758517,0.644326
"O",0.824949,-0.225112,0.169778,1.418208,0.365924
"C",-0.869041,0.218116,-0.148048,1.570193,0.671862
"F",-1.219699,1.510885,0.230850,-0.532463,-0.978605
"Q",-1.590312,-0.516257,-0.931823,-0.121950,-0.636005
"F",-0.898407,1.855950,0.132599,-0.128544,-0.019377
"T",-0.406243,1.373179,0.627382,0.167070,0.759801
"I",-1.988523,-0.261547,0.529321,-0.237967,-0.605919
"R",0.144275,-0.121906,-0.588532,-0.165371,-1.281668
"T",-0.241107,2.244054,0.160642,0.452767,0.055257
"X",-0.129482,-0.499807,0.217996,0.943658,-0.970790
"A",-1.006241,-1.972902,-0.132960,-1.981024,0.717575
"L",0.499675,0.775144,-0.353275,0.692739,-1.360157
"C",0.050965,-0.443369,1.101108,2.254290,0.758183
"R",0.189930,-1.355025,1.052824,-1.634775,0.069564
"P",1.594721,1.277959,-1.078399,-1.153654,-1.369863
"G",-0.257846,-1.157240,0.409309,1.983615,-0.351102
"X",0.784783,1.275887,1.238847,1.050358,0.967892
"M",0.554279,-0.475880,-2.584680,-0.043931,1.670908
"S",0.433641,0.018941,1.295669,-0.019614,-0.036513
"L",1.122892,-0.878097,-0.597334,0.847511,0.165923
"L",-0.936439,-1.232083,1.411494,-0.130370,0.653201
"Y",-0.340112,1.611238,-0.187172,-0.008686,1.083434
"U",-1.162396,1.243478,0.056503,0.221348,1.319091
"F",-0.872996,1.048730,1.236189,-0.967471,0.083688
"G",-1.170452,-0.408727,-0.110938,0.380865,0.106007
"Q",0.204797,-0.307083,-0.740256,0.932055,-0.177107
"V",2.378147,-0.154355,-0.867277,0.167966,-0.970731
"H",-0.501909,-0.374296,0.391711,-1.461751,-0.214820
"K",1.212128,0.065136,-0.795012,0.127134,-1.953497
"T",-0.960659,1.107919,0.193709,0.256201,0.406150
"L",0.106546,-0.932583,1.251158,1.174904,1.367594
"M",-0.091208,-0.483187,-0.465254,-1.266720,0.946095
"O",0.372434,-0.245226,-0.777809,-0.637448,-0.752625
"H",-0.268883,-0.442093,-1.900236,-0.224024,0.924684
"U",-1.809103,0.409886,-1.998228,0.369747,0.650066
"R",-0.662107,-0.450626,-0.273987,-0.083931,-1.054769
"B",1.501215,-0.558266,1.013533,-0.292740,-0.521092
"D",-0.443177,-0.204014,0.303635,-1.285558,-0.464851
"L",-0.578560,-1.116226,-0.236148,1.796549,0.197669
"V",-1.056096,2.109305,-0.378552,-0.159129,0.294582
"E",-1.916030,-0.641581,0.415028,1.987526,-0.714607
"V",0.360475,1.329070,-0.418124,0.496529,1.040701
"U",-0.383752,0.461567,-0.506474,0.925446,0.423947
"O",-0.371443,-0.688892,-0.534453,0.170655,-0.512173
"V",1.622166,1.644682,-0.399778,-0.026574,-0.557833
"D",-1.258883,-0.072834,-0.190199,-0.594214,-1.208771
"H",1.912117,-0.062028,0.665059,-0.457899,0.757277
"R",1.102335,-1.327982,0.272673,0.086729,0.006466
"J",0.193829,-0.281114,0.486624,-1.079331,-0.435726
"H",-0.874514,-0.325674,-2.294721,-0.088313,0.637978
"J",0.956007,0.418947,2.048852,-1.475241,0.946517
"H",-0.776257,-0.260784,-2.455914,0.170758,1.174393
"Q",-1.652485,-0.546914,-0.849342,-0.032790,-0.514456
"C",-0.401941,0.036966,0.072920,2.001699,1.026663
"H",-0.102189,0.040359,-0.784178,-0.954428,-1.588988
"S",0.131072,-0.740491,1.536108,-0.171396,-0.131926
"M",-0.347225,-0.498975,-2.649758,-0.375023,1.309013
"Q",-1.128063,-0.477710,-1.247484,0.492684,-0.721060
"M",1.630407,-0.112961,-0.242507,0.225799,2.405920
"C",-0.303721,-0.545364,0.816636,2.186236,0.707975
"F",-0.770707,2.038299,0.821938,0.915885,1.284682
"Y",0.014303,2.376300,1.184890,0.190277,0.519936
"V",0.353768,2.531992,-0.524341,0.189941,0.624062
"X",-0.634172,-0.276693,-0.252002,-0.131770,-0.122466
"L",-0.952997,-1.171697,1.447636,0.295321,0.474382
"C",-1.524519,0.890296,0.417317,0.926133,1.080066
"T",-0.548007,1.772141,0.257176,0.379683,0.027598
"C",1.189228,0.659182,0.935935,0.610524,0.235798
"G",0.353043,-1.016515,0.381698,1.991450,-0.062649
"K",-2.074011,-0.678724,-1.596128,0.715710,0.634743
"S",1.525032,-1.749062,0.832329,-0.353102,0.486723
"Y",1.059478,1.917617,0.751323,-0.083974,-1.211544
"Q",-0.718401,-0.360399,-0.723546,-0.100355,0.024958
"F",-1.288823,1.128250,0.830314,-1.433451,0.045850
"W",-0.524618,1.921440,-0.774864,-0.431152,0.550276
"T",0.585839,1.422335,-0.289732,0.766533,-0.160911
"U",-1.011770,0.350670,-1.683058,0.806511,1.181918
"I",-1.475274,-0.231872,0.890024,0.092810,-0.209321
"G",0.370290,-1.016541,0.667276,2.502001,0.646966
"G",-0.267045,-0.861665,-0.198733,1.195742,-0.762894
"L",1.098868,-1.301169,1.458657,0.741891,1.882330
"I",-2.495194,-0.258221,-0.344734,-0.486791,-0.053677
"R",-0.535792,-0.877518,0.236032,-0.803200,-0.484503
"X",-0.076038,-0.252506,-0.216887,0.114887,0.322433
"K",-1.259856,-0.434676,-0.081928,1.163419,-0.268476
"T",-0.432647,2.490780,1.174153,-0.913734,-0.751709
"P",0.320221,1.014998,-0.369996,-1.248452,-0.523225
"N",1.968898,0.682022,-0.878104,0.733449,0.546202
"K",-0.003960,-0.334931,0.678180,-0.093129,0.299273
"Q",0.312191,-0.599275,-0.672486,1.235393,-0.323436
"M",0.645541,-0.436900,-0.549966,-0.756027,1.173795
"G",1.106760,-0.419513,-0.138407,2.242158,0.989471
"J",1.296194,0.013877,1.062946,-0.444021,-0.017073
"I",0.706758,-0.408455,-0.023465,0.550154,-1.618519
"B",-0.133746,-0.410391,-0.077975,0.037225,-1.550407
"S",1.006028,0.328244,1.303707,0.031441,0.224308
"L",-1.436682,-1.208151,1.240671,0.286753,0.317530
"O",-0.291910,-0.977541,-0.008930,-0.354622,0.627590
"I",-1.783851,0.199951,1.607911,-0.993363,0.971141
"K",-0.862975,-0.433157,0.218910,1.448208,-0.337025
"Z",-1.766265,-0.441130,1.613015,0.315517,-1.364374
"O",0.772424,-0.876838,-0.498473,-0.073059,0.612967
"G",0.239414,-1.040028,-0.107721,2.048276,-0.185707
"L",-0.401767,-0.872561,-0.400198,1.246215,0.017445
"C",-0.766104,-0.345798,0.116809,2.314335,0.796700
"X",0.541059,1.162728,1.168662,0.018286,0.682950
"F",-2.112833,1.590216,0.066469,-0.229907,-0.153832
"I",1.279964,-0.607184,1.284950,-0.903167,0.012913
"Z",-0.549550,-0.898459,1.198208,0.960056,-1.533990
"Z",1.476691,-0.308936,2.076636,0.253550,0.324541
"I",1.290052,-0.605274,1.577468,-1.074239,0.155841
"F",-1.073187,1.968808,0.319793,0.307767,0.410178
"X",-0.132358,-0.269713,-0.369249,0.097448,-0.009381
"G",0.629051,0.033379,0.228802,1.643647,1.241730
"I",-1.734973,-0.163694,0.854351,-0.536075,-0.716417
"I",-0.093681,0.242704,-0.433711,0.636000,-1.934661
"K",-0.158542,-0.958411,-0.399380,-0.000522,-0.906412
"J",-0.652336,-2.161493,0.861562,-0.863916,3.048679
"I",-1.501147,0.101365,1.735049,-0.916039,1.062240
"P",-0.599160,1.154933,0.493321,-2.258429,-1.484884
"M",0.675775,-0.301448,-2.617862,-0.143266,1.813597
"Z",-0.192489,-0.407126,2.491718,1.782510,-1.184988
"J",0.508835,-0.314465,1.137498,-0.720504,-0.098020
"O",-0.969143,-0.506817,-0.328844,-0.377158,0.040096
"G",-0.055040,-0.993755,0.282088,1.846357,-0.380992
"E",-0.487609,-0.408392,0.903964,3.341641,0.400109
"L",0.614268,0.275307,0.458124,1.041245,1.289205
"P",-0.898658,1.437955,-0.257295,-0.614283,-0.390976
"V",-0.524609,2.229819,-0.395609,-0.409500,0.435849
"V",-1.999763,1.130183,-1.184114,-0.506449,0.219023
"S",-0.537764,-0.521409,-0.008224,0.291130,-1.792027
"F",-0.281563,2.461864,0.170479,-0.811567,0.168446
"L",-0.057490,-1.009245,-0.413322,0.823596,-1.273435
"P",0.855898,-0.819518,-0.762222,0.590342,-0.490466
"C",-0.124518,-0.032491,0.145097,2.831749,1.284106
"V",1.141217,2.158998,-0.032013,0.223280,1.278991
"R",0.598491,0.496929,-0.582627,0.030871,-1.413621
"U",0.105766,-0.344536,-0.240250,-0.241919,0.543882
"T",0.586689,3.001504,0.996650,-0.343263,0.306559
"P",0.075828,1.327702,-0.594467,-0.071609,-0.666724
"E",0.549018,-0.922046,-0.700478,0.567857,-0.493604
"V",0.497504,2.060949,0.030392,0.570873,1.396744
"I",-0.298859,0.451942,2.270378,-0.721975,1.132322
"S",-0.542143,-0.410668,-0.057075,0.358565,-1.728167
"O",0.532224,-0.400500,-0.030775,-0.000955,0.828952
"Q",1.837195,-0.247483,-0.501440,0.616323,0.196903
"A",0.549293,-3.038201,0.575913,-1.746885,2.943730
"P",-0.167399,1.184081,-0.538174,-0.446231,-0.427473
"H",0.552777,-0.274705,-2.310473,0.312065,1.945491
"N",0.335825,-0.175549,-0.743930,-0.559084,-0.603587
"B",0.988069,-0.826496,0.144271,2.011576,-1.525366
"W",1.904087,0.016600,-3.165125,-0.637688,-0.944992
"H",1.065549,0.783728,0.620377,-0.192600,0.131936
"C",-1.570151,-0.398850,-0.138536,2.011208,0.370626
"O",-1.581493,-0.490680,-0.443333,0.052081,-0.621661
"W",2.361441,0.149621,-0.892794,-0.832290,-2.208595
"H",-0.915201,-0.060175,-0.327720,-0.008605,-0.483797
"T",-0.412193,1.300769,0.179173,0.387409,0.428993
"H",0.016402,-0.226177,-0.131170,0.003990,-0.399840
"G",-0.064311,-1.239421,-0.062756,2.215561,-0.038455
"Y",1.240217,1.572623,0.170048,-0.530277,0.643794
"Z",0.896057,1.114362,1.627445,0.173248,-1.212758
"D",0.074125,0.270785,-0.096874,-0.482796,-0.682917
"Z",0.365029,-0.622122,1.231772,0.686684,-1.934044
"R",-0.866195,-0.694974,0.083013,-1.304433,-0.423932
"M",1.348976,-0.455253,-0.400376,-1.321871,0.745676
"J",0.192340,0.174017,1.003330,-1.289052,-0.702074
"L",-0.181233,-1.115855,0.385098,0.889878,-0.112040
"I",-1.413824,-0.221734,-0.022931,0.070652,0.796133
"R",-1.390463,-0.502928,-0.366276,-0.212461,-1.338246
"L",0.837797,-0.827578,-0.823813,0.759705,0.222667
"V",-0.413286,1.586936,-0.726290,0.167580,0.210217
"J",-0.415196,-0.337416,1.947046,-0.648125,2.149515
"R",0.735276,-0.303332,-0.177566,-0.149619,-0.361321
"D",0.129366,-0.054367,-0.170759,-0.019792,-0.610249
"X",-0.284159,0.124416,0.314690,0.763995,-0.861874
"E",0.747989,-0.249221,0.559157,1.605222,-0.144448
"D",0.603263,-0.782201,0.679659,-0.748650,0.498381
"L",-1.256852,-1.096398,-0.443534,1.285794,-0.581837
"U",0.226790,1.384100,0.566131,0.941625,1.226267
"S",0.429585,0.257491,1.193537,0.290960,0.110439
"Q",1.049047,-0.144835,-1.030277,0.864679,0.108368
"K",0.763420,0.025056,0.733232,-0.064050,0.521190
"F",-0.476260,2.006381,0.484183,1.164213,1.063352
"H",-0.699920,-0.307787,-0.410834,0.088227,-0.478315
"G",-0.498199,-0.973488,0.019607,1.873971,0.023447
"N",1.564617,-0.080598,-0.819842,-0.270945,-0.517386
"X",0.386392,-0.214617,0.689521,0.409076,-2.082545
"V",-2.078224,1.206407,-1.370585,-0.734833,0.034622
"G",0.159058,0.276398,-0.027369,-0.135716,-1.512758
"Z",1.608038,-2.011524,1.322480,-0.059394,1.235189
"H",-1.129308,0.486770,0.129059,-1.025767,-0.233334
"Z",1.558332,0.121918,1.893825,0.456405,0.239984
"F",1.011562,0.815950,1.586346,-0.597362,-0.173965
"T",-0.050462,0.752918,1.379333,-0.430515,0.294109
"I",1.209156,-0.119808,1.096636,-1.380259,-1.683279
"X",-1.577960,-0.437708,-0.472454,-0.503630,-0.695396
"E",-0.679073,-0.040690,1.225244,0.016068,0.162149
